Dataset	Effect	Trt	Estimate
1	Intercept		-0.7485
1	Trt	D	-2.2012
1	Trt	C	-1.0258
1	Trt	B	-0.3204
1	Trt	A	0
1	Scale Parameter		4.0307
2	Intercept		-0.6309
2	Trt	D	-1.5795
2	Trt	C	-1.2041
2	Trt	B	-0.5684
2	Trt	A	0
2	Scale Parameter		1.9092
3	Intercept		-0.6984
3	Trt	D	-2.0117
3	Trt	C	-0.9219
3	Trt	B	-0.4254
3	Trt	A	0
3	Scale Parameter		3.0096
4	Intercept		-0.5387
4	Trt	D	-2.4496
4	Trt	C	-1.0910
4	Trt	B	-0.7078
4	Trt	A	0
4	Scale Parameter		2.2476
5	Intercept		-0.4240
5	Trt	D	-1.7977
5	Trt	C	-1.5904
5	Trt	B	-0.3931
5	Trt	A	0
5	Scale Parameter		2.0543
6	Intercept		-0.4247
6	Trt	D	-1.6622
6	Trt	C	-1.0564
6	Trt	B	-0.7863
6	Trt	A	0
6	Scale Parameter		3.4425
7	Intercept		-0.7509
7	Trt	D	-2.0766
7	Trt	C	-0.7556
7	Trt	B	-0.3996
7	Trt	A	0
7	Scale Parameter		2.4820
8	Intercept		-0.7365
8	Trt	D	-1.5308
8	Trt	C	-0.7646
8	Trt	B	-0.5713
8	Trt	A	0
8	Scale Parameter		3.3657
9	Intercept		-0.7472
9	Trt	D	-1.3780
9	Trt	C	-0.6923
9	Trt	B	-0.3285
9	Trt	A	0
9	Scale Parameter		3.9266
10	Intercept		-0.5256
10	Trt	D	-2.1266
10	Trt	C	-0.9419
10	Trt	B	-0.8247
10	Trt	A	0
10	Scale Parameter		2.6362
11	Intercept		-0.5451
11	Trt	D	-2.0683
11	Trt	C	-1.0511
11	Trt	B	-0.4413
11	Trt	A	0
11	Scale Parameter		2.4347
12	Intercept		-0.6008
12	Trt	D	-1.6584
12	Trt	C	-0.6783
12	Trt	B	-0.7564
12	Trt	A	0
12	Scale Parameter		3.0801
13	Intercept		-0.8234
13	Trt	D	-2.2900
13	Trt	C	-0.5916
13	Trt	B	-0.1216
13	Trt	A	0
13	Scale Parameter		3.9133
14	Intercept		-0.6957
14	Trt	D	-1.4051
14	Trt	C	-1.2899
14	Trt	B	-0.4825
14	Trt	A	0
14	Scale Parameter		2.9678
15	Intercept		-0.6619
15	Trt	D	-1.6402
15	Trt	C	-0.8779
15	Trt	B	-0.3012
15	Trt	A	0
