Dataset	Parm	Level1	Estimate
1	Intercept		-0.7560
1	Trt	D	-2.5882
1	Trt	C	-1.1936
1	Trt	B	-0.3129
1	Trt	A	0.0000
2	Intercept		-0.6594
2	Trt	D	-1.9021
2	Trt	C	-1.2417
2	Trt	B	-0.5495
2	Trt	A	0.0000
3	Intercept		-0.7219
3	Trt	D	-2.1962
3	Trt	C	-0.9683
3	Trt	B	-0.4314
3	Trt	A	0.0000
4	Intercept		-0.5917
4	Trt	D	-2.8310
4	Trt	C	-1.0975
4	Trt	B	-0.6960
4	Trt	A	0.0000
5	Intercept		-0.4524
5	Trt	D	-2.2017
5	Trt	C	-1.7652
5	Trt	B	-0.3360
5	Trt	A	0.0000
6	Intercept		-0.4565
6	Trt	D	-1.9758
6	Trt	C	-1.1013
6	Trt	B	-0.7379
6	Trt	A	0.0000
7	Intercept		-0.7662
7	Trt	D	-2.5858
7	Trt	C	-0.9504
7	Trt	B	-0.3954
7	Trt	A	0.0000
8	Intercept		-0.7438
8	Trt	D	-1.8509
8	Trt	C	-0.7913
8	Trt	B	-0.6189
8	Trt	A	0.0000
9	Intercept		-0.7410
9	Trt	D	-1.6667
9	Trt	C	-0.7472
9	Trt	B	-0.3293
9	Trt	A	0.0000
10	Intercept		-0.5757
10	Trt	D	-2.5401
10	Trt	C	-1.0621
10	Trt	B	-0.8226
10	Trt	A	0.0000
11	Intercept		-0.5666
11	Trt	D	-2.0921
11	Trt	C	-1.1202
11	Trt	B	-0.4347
11	Trt	A	0.0000
12	Intercept		-0.6171
12	Trt	D	-1.7640
12	Trt	C	-0.6979
12	Trt	B	-0.6898
12	Trt	A	0.0000
13	Intercept		-0.8279
13	Trt	D	-2.2407
13	Trt	C	-0.6751
13	Trt	B	-0.1353
13	Trt	A	0.0000
14	Intercept		-0.7078
14	Trt	D	-1.4838
14	Trt	C	-1.5532
14	Trt	B	-0.4446
14	Trt	A	0.0000
15	Intercept		-0.6818
15	Trt	D	-1.9368
15	Trt	C	-0.9291
15	Trt	B	-0.2744
15	Trt	A	0.0000
16	Intercept		-0.7636
16	Trt	D	-2.4525
16	Trt	C	-0.9748
16	Trt	B	-0.8214
16	Trt	A	0.0000
17	Intercept		-0.6614
17	Trt	D	-1.7807
17	Trt	C	-1.4290
17	Trt	B	-0.3721
17	Trt	A	0.0000
18	Intercept		-0.5742
18	Trt	D	-1.6854
18	Trt	C	-0.8511
18	Trt	B	-0.7853
18	Trt	A	0.0000
19	Intercept		-0.8820
19	Trt	D	-1.3609
19	Trt	C	-0.5635
19	Trt	B	-0.1849
19	Trt	A	0.0000
20	Intercept		-0.6701
20	Trt	D	-2.4247
20	Trt	C	-1.0140
20	Trt	B	-0.3675
20	Trt	A	0.0000
