ID ClusterSize NResp Trt Dataset
1 5 1 A 1
2 9 1 B 1
3 6 1 C 1
4 6 0 D 1
5 9 7 A 1
6 8 3 B 1
7 5 0 C 1
8 8 1 D 1
9 7 6 A 1
10 6 0 B 1
11 2 1 C 1
12 5 0 D 1
13 6 1 A 1
14 2 0 B 1
15 4 0 C 1
16 8 0 D 1
17 7 1 A 1
18 9 4 B 1
19 6 1 C 1
20 7 1 D 1
21 7 6 A 1
22 6 3 B 1
23 7 0 C 1
24 5 0 D 1
25 5 0 A 1
26 6 5 B 1
27 6 0 C 1
28 10 0 D 1
29 8 8 A 1
30 8 1 B 1
31 10 1 C 1
32 7 0 D 1
33 4 0 A 1
34 6 4 B 1
35 2 1 C 1
36 5 1 D 1
37 8 2 A 1
38 2 0 B 1
39 2 0 C 1
40 7 0 D 1
41 5 3 A 1
42 8 6 B 1
43 5 2 C 1
44 6 0 D 1
45 4 4 A 1
46 4 3 B 1
47 6 2 C 1
48 7 1 D 1
49 6 2 A 1
50 2 1 B 1
51 7 2 C 1
52 6 0 D 1
53 4 1 A 1
54 4 0 B 1
55 4 0 C 1
56 6 0 D 1
57 5 1 A 1
58 4 1 B 1
59 7 2 C 1
60 5 0 D 1
61 6 5 A 1
62 10 3 B 1
63 5 0 C 1
64 4 1 D 1
65 10 10 A 1
66 7 6 B 1
67 4 0 C 1
68 5 0 D 1
69 7 2 A 1
70 3 2 B 1
71 8 1 C 1
72 4 0 D 1
73 6 3 A 1
74 3 2 B 1
75 5 1 C 1
76 2 0 D 1
77 5 0 A 1
78 10 2 B 1
79 7 1 C 1
80 2 0 D 1
81 10 3 A 1
82 3 0 B 1
83 6 1 C 1
84 3 0 D 1
85 4 4 A 1
86 5 1 B 1
87 4 0 C 1
88 4 0 D 1
89 6 3 A 1
90 7 1 B 1
91 5 0 C 1
92 7 0 D 1
93 4 0 A 1
94 10 0 B 1
95 5 2 C 1
96 8 0 D 1
97 6 2 A 1
98 10 2 B 1
99 9 0 C 1
100 5 0 D 1
1 6 1 A 2
2 8 6 B 2
3 7 0 C 2
4 10 0 D 2
5 6 1 A 2
6 5 0 B 2
7 8 0 C 2
8 10 0 D 2
9 6 1 A 2
10 6 4 B 2
11 5 0 C 2
12 4 1 D 2
13 5 0 A 2
14 7 4 B 2
15 8 0 C 2
16 4 0 D 2
17 2 2 A 2
18 2 0 B 2
19 7 2 C 2
20 6 1 D 2
21 6 6 A 2
22 4 2 B 2
23 3 0 C 2
24 4 1 D 2
25 6 0 A 2
26 7 0 B 2
27 3 2 C 2
28 8 0 D 2
29 7 5 A 2
30 5 1 B 2
31 6 0 C 2
32 8 0 D 2
33 2 1 A 2
34 6 2 B 2
35 6 0 C 2
36 6 1 D 2
37 2 2 A 2
38 7 1 B 2
39 7 1 C 2
40 6 2 D 2
41 3 3 A 2
42 6 0 B 2
43 4 0 C 2
44 6 0 D 2
45 7 5 A 2
46 5 0 B 2
47 5 2 C 2
48 4 0 D 2
49 3 3 A 2
50 4 0 B 2
51 3 0 C 2
52 5 0 D 2
53 3 0 A 2
54 6 0 B 2
55 3 2 C 2
56 2 0 D 2
57 8 1 A 2
58 5 1 B 2
59 3 0 C 2
60 8 0 D 2
61 4 3 A 2
62 3 3 B 2
63 7 0 C 2
64 6 0 D 2
65 3 3 A 2
66 5 0 B 2
67 6 1 C 2
68 5 1 D 2
69 7 2 A 2
70 4 2 B 2
71 2 0 C 2
72 4 0 D 2
73 5 4 A 2
74 9 1 B 2
75 6 1 C 2
76 4 1 D 2
77 5 1 A 2
78 5 3 B 2
79 9 0 C 2
80 5 0 D 2
81 4 4 A 2
82 5 0 B 2
